,,,,
Date,Name,Tags,URL,Description
,Letterboxd top 2000 Narrative Feature Films,,,Letterboxd top 2000 Narrative Feature Films
,,,,
Position,Name,Year,URL,Description
426406,Parasite,2019,,
36192,Come and See,1985,,
51818,The Godfather,1972,,
43015,Harakiri,1962,,
51816,The Godfather: Part II,1974,,
51716,Seven Samurai,1954,,
51700,12 Angry Men,1957,,
24788,A Dog's Will,2000,,
29108,The Human Condition III: A Soldier's Prayer,1961,,
51921,Spirited Away,2001,,
44542,High and Low,1963,,
42089,A Brighter Summer Day,1991,,
51778,The Shawshank Redemption,1994,,
35988,Yi Yi,2000,,
460830,Portrait of a Lady on Fire,2019,,
31363,The Human Condition I: No Greater Love,1959,,
251943,Spider-Man: Into the Spider-Verse,2018,,
51896,The Dark Knight,2008,,
51383,GoodFellas,1990,,
51458,Central Station,1998,,
51671,Schindler's List,1993,,
50713,The Empire Strikes Back,1980,,
49595,Ikiru,1952,,
51666,"The Good, the Bad and the Ugly",1966,,
51062,Stalker,1979,,
48044,There Will Be Blood,2007,,
31197,Satantango,1994,,
51523,City of God,2002,,
51372,The Passion of Joan of Arc,1928,,
51355,Persona,1966,,
51928,The Lord of the Rings: The Return of the King,2003,,
40311,Neon Genesis Evangelion: The End of Evangelion,1997,,
51522,Sunset Boulevard,1950,,
41440,Woman in the Dunes,1964,,
45108,Ran,1985,,
2690,Apocalypse Now,1979,,
51309,In the Mood for Love,2000,,
40554,Tokyo Story,1953,,
51257,Andrei Rublev,1966,,
51684,La Haine,1995,,
216086,The Handmaiden,2016,,
44558,Grave of the Fireflies,1988,,
51194,Paths of Glory,1957,,
171384,Whiplash,2014,,
29110,The Human Condition II: Road to Eternity,1959,,
51228,Do the Right Thing,1989,,
51444,Pulp Fiction,1994,,
51256,The World of Apu,1959,,
51552,Rear Window,1954,,
51469,"Paris, Texas",1984,,
48536,Fanny and Alexander,1982,,
51987,2001: A Space Odyssey,1968,,
33012,Le Trou,1960,,
51922,Princess Mononoke,1997,,
6578,The Given Word,1962,,
45493,Cinema Paradiso,1988,,
46175,Perfect Blue,1997,,
51782,The Silence of the Lambs,1991,,
34829,Mishima: A Life in Four Chapters,1985,,
44320,Autumn Sonata,1978,,
51578,Psycho,1960,,
103302,Scenes from a Marriage,1974,,
32502,A Woman Under the Influence,1974,,
51774,The Apartment,1960,,
38951,Sansho the Bailiff,1954,,
48649,Pather Panchali,1955,,
51974,Before Sunrise,1995,,
51930,The Lord of the Rings: The Fellowship of the Ring,2001,,
51727,Once Upon a Time in the West,1968,,
36471,Eternity and a Day,1998,,
420137,It's Such a Beautiful Day,2012,,
51454,Oldboy,2003,,
51155,The Thing,1982,,
17413,Ordet,1955,,
51432,The Shining,1980,,
51714,Alien,1979,,
96070,Macario,1960,,
51970,Before Sunset,2004,,
39579,The Red Shoes,1948,,
51064,Mirror,1975,,
45312,Memories of Murder,2003,,
51929,The Lord of the Rings: The Two Towers,2002,,
50949,It's a Wonderful Life,1946,,
51251,City Lights,1931,,
51600,One Flew Over the Cuckoo's Nest,1975,,
26201,The Cranes Are Flying,1957,,
49811,Barry Lyndon,1975,,
15466,The Ascent,1977,,
145451,They Don't Wear Black Tie,1981,,
37507,Werckmeister Harmonies,2000,,
39638,Nights of Cabiria,1957,,
15398,Edvard Munch,1974,,
51620,The Seventh Seal,1957,,
41081,The Battle of Algiers,1966,,
41352,Inglourious Basterds,2009,,
48140,No Country for Old Men,2007,,
38953,Late Spring,1949,,
51673,8½,1963,,
51320,M,1931,,
33006,War and Peace,1966,,
19696,Berlin Alexanderplatz,1980,,
30720,I Am Cuba,1964,,
51280,Singin' in the Rain,1952,,
51177,"Sherlock, Jr.",1924,,
33686,Love Exposure,2008,,
18627,Incendies,2010,,
51904,The 400 Blows,1959,,
51345,Se7en,1995,,
48930,Bicycle Thieves,1948,,
527671,The Father,2020,,
51568,Fight Club,1999,,
42507,A Man Escaped,1956,,
45602,Chungking Express,1994,,
45094,The Best of Youth,2003,,
42416,Army of Shadows,1969,,
51421,All About Eve,1950,,
237642,The Second Mother,2015,,
60299,Lawrence of Arabia,1962,,
51770,Casablanca,1942,,
51947,Taxi Driver,1976,,
